FILENAME1,FILENAME2,CORRELATION
3MINDIA,3MINDIA,1.0
3MINDIA,ABB,0.26542147043143643
3MINDIA,ABCAPITAL,0.35079721897553245
3MINDIA,ACC,0.2851818907866285
3MINDIA,ADANIENSOL,0.22261264878916454
3MINDIA,ADANIENT,0.2086712116746205
3MINDIA,ADANIGREEN,0.15790952770417144
3MINDIA,ADANIPORTS,0.24152177836986824
3MINDIA,ADANIPOWER,0.22255120042696422
3MINDIA,AIAENG,0.21230589912041684
3MINDIA,ALKEM,0.23781366437793133
3MINDIA,AMBUJACEM,0.2757537588716328
3MINDIA,APLAPOLLO,0.1200760318096306
3MINDIA,APOLLOHOSP,0.2463127217210549
3MINDIA,ASHOKLEY,0.3446522166868559
3MINDIA,ASIANPAINT,0.2909448567990877
3MINDIA,ASTRAL,0.31023491446971574
3MINDIA,ATGL,0.22075080689175103
3MINDIA,AUBANK,0.22917610968485938
3MINDIA,AUROPHARMA,0.2801669432529391
3MINDIA,AWL,0.21858338174933686
3MINDIA,AXISBANK,0.32507556412889604
3MINDIA,BAJAJ-AUTO,0.3054525706313993
3MINDIA,BAJAJFINSV,0.10540635455986204
3MINDIA,BAJAJHLDNG,0.26124204362737263
3MINDIA,BAJFINANCE,0.3146116208681105
3MINDIA,BALKRISIND,0.29728423453248315
3MINDIA,BANDHANBNK,0.2794187078943816
3MINDIA,BANKBARODA,0.3204313067514448
3MINDIA,BANKINDIA,0.30096561095624363
3MINDIA,BEL,0.17529708931930962
3MINDIA,BERGEPAINT,0.30691766564901646
3MINDIA,BHARATFORG,0.3066633066267506
3MINDIA,BHARTIARTL,0.2578909349669053
3MINDIA,BHEL,0.3094956594702661
3MINDIA,BOSCHLTD,0.36626922145170165
3MINDIA,BPCL,0.3645184103570002
3MINDIA,BRITANNIA,0.2730228398312233
3MINDIA,CANBK,0.34261120642409076
3MINDIA,CENTRALBK,0.24528525262176096
3MINDIA,CGPOWER,0.11889422996552691
3MINDIA,CHOLAFIN,0.35576864546318093
3MINDIA,CIPLA,0.21788433528881437
3MINDIA,COALINDIA,0.2806956025359379
3MINDIA,COFORGE,0.2835407398294561
3MINDIA,COLPAL,0.26337092572341375
3MINDIA,CONCOR,0.26869557372721936
3MINDIA,COROMANDEL,0.2692875646402516
3MINDIA,CUMMINSIND,0.23298767088856548
3MINDIA,DABUR,0.328683028946563
3MINDIA,DALBHARAT,0.3626747820023839
3MINDIA,DEEPAKNTR,0.3623774272199978
3MINDIA,DIVISLAB,0.29494399132115273
3MINDIA,DIXON,0.1841313222515176
3MINDIA,DLF,0.3563122565885685
3MINDIA,DMART,0.2152939313831046
3MINDIA,DRREDDY,0.23707730627024817
3MINDIA,EICHERMOT,0.06788697962209689
3MINDIA,FACT,0.24505138074113264
3MINDIA,FEDERALBNK,0.38083241732286754
3MINDIA,FLUOROCHEM,0.2696353514609213
3MINDIA,GAIL,0.27000061203369163
3MINDIA,GICRE,0.25569974818875546
3MINDIA,GMRINFRA,0.334445081208002
3MINDIA,GODREJCP,0.2773507051338088
3MINDIA,GODREJPROP,0.34746626215939125
3MINDIA,GRASIM,0.35399104187742514
3MINDIA,HAL,0.22019755550068154
3MINDIA,HAVELLS,0.33644619147438937
3MINDIA,HCLTECH,0.3033074288903137
3MINDIA,HDFCAMC,0.2914497640678202
3MINDIA,HDFCBANK,0.3438585194261344
3MINDIA,HDFCLIFE,0.32056093188054074
3MINDIA,HEROMOTOCO,0.3132280250316419
3MINDIA,HINDALCO,0.34919468400558445
3MINDIA,HINDPETRO,0.274666522972335
3MINDIA,HINDUNILVR,0.23637423225360835
3MINDIA,HINDZINC,0.2528017677332661
3MINDIA,ICICIBANK,0.3534964961484257
3MINDIA,ICICIGI,0.3037423059320196
3MINDIA,ICICIPRULI,0.29144994276896885
3MINDIA,IDBI,0.2806974446867657
3MINDIA,IDEA,0.1382732472995121
3MINDIA,IDFCFIRSTB,0.36704763921542466
3MINDIA,INDHOTEL,0.29174028192609197
3MINDIA,INDIANB,0.30011354568876825
3MINDIA,INDIGO,0.2821797063982698
3MINDIA,INDUSINDBK,0.27446233624351624
3MINDIA,INDUSTOWER,0.18268407208027326
3MINDIA,INFY,0.276361836449103
3MINDIA,IOB,0.19877199410281732
3MINDIA,IOC,0.2814905429099001
3MINDIA,IRCTC,0.13077607258759605
3MINDIA,IRFC,0.15665542284930967
3MINDIA,ITC,0.2896796562388628
3MINDIA,JINDALSTEL,0.2703414435565874
3MINDIA,JIOFIN,0.1728197029648108
3MINDIA,JSL,0.23607452050977742
3MINDIA,JSWENERGY,0.17305677632343283
3MINDIA,JSWINFRA,0.06141958964465561
3MINDIA,JSWSTEEL,0.32625881810118135
3MINDIA,JUBLFOOD,0.09357488946383616
3MINDIA,KALYANKJIL,0.17632431871503862
3MINDIA,KOTAKBANK,0.3364591455965105
3MINDIA,KPITTECH,0.23719792517548058
3MINDIA,L&TFH,0.3815330869107926
3MINDIA,LICI,0.17407694363803747
3MINDIA,LINDEINDIA,0.33686217360618037
3MINDIA,LODHA,0.12084293674696153
3MINDIA,LT,0.372818754367067
3MINDIA,LTIM,0.32507516164425865
3MINDIA,LTTS,0.2817932389519065
3MINDIA,LUPIN,0.2965349509159931
3MINDIA,M&M,0.3505343348978109
3MINDIA,M&MFIN,0.30284008396505246
3MINDIA,MANKIND,0.07520682744995018
3MINDIA,MARICO,0.2894363789428354
3MINDIA,MARUTI,0.32291918556396465
3MINDIA,MAXHEALTH,0.10051771295827834
3MINDIA,MAZDOCK,0.23883713249871216
3MINDIA,MCDOWELL-N,0.34115851005043873
3MINDIA,METROBRAND,0.12195742559535326
3MINDIA,MOTHERSON,0.3266140804691804
3MINDIA,MPHASIS,0.2448874565740045
3MINDIA,MRF,0.3371010240739346
3MINDIA,MUTHOOTFIN,0.3538024963927249
3MINDIA,NAUKRI,0.3001835241787182
3MINDIA,NESTLEIND,0.06062039511440409
3MINDIA,NHPC,0.22636361742968722
3MINDIA,NIACL,0.24935775685144215
3MINDIA,NLCINDIA,0.22805323252335244
3MINDIA,NMDC,0.29898159707112887
3MINDIA,NTPC,0.29162689892643723
3MINDIA,NYKAA,-0.03778128388856649
3MINDIA,OBEROIRLTY,0.3034219618212988
3MINDIA,OFSS,0.31685377984019053
3MINDIA,OIL,0.2575374311941453
3MINDIA,ONGC,0.27712555549403367
3MINDIA,PAGEIND,0.27547176226978004
3MINDIA,PATANJALI,0.1533981974002226
3MINDIA,PAYTM,0.16450688898537857
3MINDIA,PERSISTENT,0.2565057253151388
3MINDIA,PFC,0.33817777657772136
3MINDIA,PGHH,0.2388920979385907
3MINDIA,PHOENIXLTD,0.2575408306638812
3MINDIA,PIDILITIND,0.3463037885159491
3MINDIA,PIIND,0.3169361732313098
3MINDIA,PNB,0.30902257406835565
3MINDIA,POLICYBZR,0.20807713594367028
3MINDIA,POLYCAB,0.3041896934787543
3MINDIA,POONAWALLA,0.24604237598863096
3MINDIA,POWERGRID,0.18566989556704516
3MINDIA,PRESTIGE,0.26149855558684243
3MINDIA,RECLTD,0.34254200809744495
3MINDIA,RELIANCE,0.2646391424672264
3MINDIA,RVNL,0.27788031944572344
3MINDIA,SAIL,0.2988208403736545
